ID;EntryTime;EntryUser;Name;Description;Unit;CO6_Config_VariableTypes_ID;Parent;deleted;LOINC;PersistenceAssembly;PersistenceClass;Timestamp;DisplayName
1;2021-02-15 13:22:00.070;578;Patient;Patient;;1;0;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x000000000081FAF4;
2;2019-07-08 08:01:17.957;8;Patient_Name;Name des Patiente;;3;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000624DFB;
3;2019-07-08 08:00:59.060;8;Patient_Vorname;Vorname des Patiente;;3;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000624DF8;
4;2019-07-08 08:56:11.610;8;Patient_Geburtsdatum;Geburtsdatum des Patienten;;17;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000624E16;
5;2019-07-18 13:02:08.073;8;Patient_Geschlecht;Geschlecht des Patienten;;3;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000625113;
6;2019-07-10 12:50:34.457;8;Patient_Gewicht;Gewicht des Patienten;;6;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000625025;
7;2019-07-10 12:50:52.540;8;Patient_Groesse;Größe des Patienten;;6;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x000000000062502B;
8;2019-07-08 08:58:20.343;8;Patient_ID;Identifikation des Patiente;;3;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000624E1F;
9;2014-04-23 08:32:49.940;1;COPRA_Patient_Schwangerschaftswoche;Schwangerschaftswoche zum Zeitpunkt der Geburt in ganzen Tagen;d;2;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x00000000003D8F83;NULL
10;2014-04-23 08:32:49.940;1;COPRA_Patient_errechneter_Geburtstermin;errechneter Geburtstermin;;17;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x00000000003D8F84;NULL
11;2015-07-09 06:16:10.647;1;COPRA_Patient_Kopfumfang;Kopfumfang des Patienten in Zentimetern;cm;6;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000476465;NULL
12;2015-07-09 06:16:10.647;1;COPRA_Patient_Perzentile;Zuletzt selektierter Perzentilendatensatz des Patienten;;2;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000476466;NULL
13;2015-07-09 06:16:10.910;1;COPRA_Patient_Bezugsgewicht;Bezugsgewicht des Patienten in kg;kg;6;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000476468;NULL
14;2015-07-21 06:16:34.747;1;COPRA_Patient_Geburtsgewicht;Geburtsgewicht des Patienten in Kilogramm;kg;6;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x000000000047EE16;NULL
15;2016-10-04 13:33:46.017;1;CO_Patient_MergeSource;;;53;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x00000000004EB6DC;NULL
16;2016-10-04 13:33:46.020;1;CO_Patient_MergeTarget;;;54;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x00000000004EB6DD;NULL
20;2021-03-09 13:52:36.010;119;Fall;Fall;;1;1;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000825969;
21;2019-07-08 09:31:42.333;8;Fall_Aufnahme;Aufnahmezeitpunkt für den Fall;;5;20;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000624E50;
22;2019-07-08 09:32:33.860;8;Fall_Entlassung;Entlassungszeitpunkt für den Fall;;5;20;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000624E53;
23;2019-07-08 09:17:24.580;8;Fall_Nummer;Identifikationsnummer des Falles;;3;20;NULL;;COPRA.COPRA6.Data;COPRA.COPRA6.Data.COPRA6Persistence;0x0000000000624E2D;
